waste_type,sub_type,weight_kg,distance_km,condition,month,day_of_week,county,collection_point,market_tier,tier_score,tier_multiplier,price_per_kg
metal,tin,5.57,9.28,mixed,10,2,Nairobi,commercial,informal,0.2283,0.9228,13.52
paper,cardboard,88.09,10.92,clean,12,4,Mombasa,commercial,formal,0.931,0.9793,11.51
plastic,PVC,11.91,3.85,mixed,3,3,Nairobi,commercial,informal,0.265,0.7207,5.3
plastic,HDPE,74.84,20.42,mixed,9,1,Nairobi,industrial,semi_formal,0.6293,0.8592,17.69
metal,aluminum,60.51,2.0,mixed,2,5,Mombasa,commercial,semi_formal,0.5464,0.9546,92.43
glass,colored_glass,5.95,0.48,clean,2,6,Nakuru,commercial,semi_formal,0.4555,0.755,3.62
plastic,LDPE,2.44,26.2,mixed,12,6,Kisumu,industrial,informal,0.225,0.7055,4.47
plastic,HDPE,3.58,12.13,mixed,2,0,Nairobi,household,informal,0.225,0.7055,13.21
paper,newspaper,21.1,3.1,contaminated,3,0,Kisumu,household,informal,0.0932,0.728,3.16
metal,aluminum,1.3,6.27,clean,4,5,Nairobi,commercial,semi_formal,0.45,0.945,83.83
textile,clothes,9.05,1.25,contaminated,9,4,Nakuru,industrial,informal,0.0235,0.8047,6.84
glass,mixed_glass,59.83,2.11,mixed,9,3,Nairobi,household,semi_formal,0.5425,0.7941,2.63
metal,copper,3.69,2.67,contaminated,6,0,Nairobi,household,informal,0.0,0.9,222.14
e_waste,batteries,9.45,2.21,clean,1,1,Nairobi,household,semi_formal,0.4758,0.9738,49.04
plastic,HDPE,19.43,3.76,mixed,7,3,Nairobi,commercial,informal,0.3085,0.7372,16.54
metal,brass,25.6,4.8,clean,1,0,Nairobi,household,semi_formal,0.5692,0.9569,261.78
paper,newspaper,31.55,10.15,clean,7,3,Eldoret,commercial,semi_formal,0.6037,0.8811,6.94
paper,cardboard,3.51,15.72,contaminated,3,6,Mombasa,industrial,informal,0.0,0.7,6.92
plastic,mixed_plastic,57.38,14.04,mixed,9,0,Nairobi,industrial,semi_formal,0.5282,0.8207,9.65
plastic,PVC,57.71,5.79,clean,9,2,Eldoret,household,formal,0.7551,0.907,5.38
metal,tin,6.85,7.67,clean,5,3,Nairobi,industrial,semi_formal,0.4607,0.9461,20.38
paper,newspaper,11.96,2.05,clean,6,5,Nairobi,dump_site,semi_formal,0.4903,0.8471,6.96
paper,mixed_paper,28.14,12.18,clean,3,3,Nairobi,commercial,semi_formal,0.5839,0.8752,7.4
rubber,tyres,98.72,0.67,clean,7,0,Nairobi,household,formal,0.9926,0.9985,21.05
e_waste,computers,24.36,27.86,clean,11,1,Nakuru,industrial,semi_formal,0.5621,0.9781,65.07
metal,tin,9.29,3.47,clean,8,4,Nairobi,household,semi_formal,0.4749,0.9475,18.9
plastic,mixed_plastic,40.22,13.44,clean,12,1,Nairobi,commercial,semi_formal,0.6539,0.8685,9.35
paper,cardboard,46.15,12.01,clean,10,5,Nairobi,commercial,semi_formal,0.6882,0.9065,12.14
