waste_type,sub_type,weight_kg,distance_km,condition,month,day_of_week,county,collection_point,market_tier,tier_score,tier_multiplier,price_per_kg
metal,tin,37.08,5.9,clean,11,4,Kisumu,commercial,formal,1.0,1.0,12.56
plastic,LDPE,37.05,9.46,clean,9,0,Mombasa,household,formal,1.0,1.0,6.16
paper,mixed_paper,114.53,9.35,clean,7,1,Machakos,dump_site,formal,1.0,1.0,3.52
plastic,mixed_plastic,48.2,11.5,mixed,8,6,Nairobi,household,semi_formal,0.4545,0.7927,5.89
metal,steel_light,7.09,14.92,contaminated,4,5,Nakuru,household,informal,0.0,0.9,10.36
textile,industrial_textile,119.77,3.17,mixed,10,0,Nairobi,commercial,semi_formal,0.4545,0.8909,3.93
plastic,PET,14.05,16.9,mixed,3,2,Eldoret,household,semi_formal,0.4545,0.7927,6.46
glass,clear_glass,19.48,4.63,mixed,5,2,Kisumu,household,semi_formal,0.4545,0.7545,2.1
rubber,tyres,32.67,6.81,mixed,10,1,Mombasa,household,semi_formal,0.4545,0.8909,9.76
paper,mixed_paper,48.61,2.87,clean,11,4,Nairobi,household,formal,1.0,1.0,5.05
textile,industrial_textile,14.95,2.46,clean,11,1,Nairobi,household,formal,1.0,1.0,5.43
paper,office_paper,35.03,19.71,clean,8,2,Mombasa,household,formal,1.0,1.0,5.87
textile,clothes,31.3,0.67,clean,12,5,Nakuru,commercial,formal,1.0,1.0,5.85
metal,copper,23.41,1.57,clean,6,6,Nakuru,industrial,formal,1.0,1.0,345.01
metal,aluminum,24.13,16.01,clean,11,5,Nakuru,industrial,formal,1.0,1.0,16.16
e_waste,computers,13.98,1.01,contaminated,8,6,Machakos,household,informal,0.0,0.95,49.05
glass,clear_glass,9.91,40.27,mixed,1,1,Kajiado,dump_site,semi_formal,0.4545,0.7545,1.96
plastic,PET,28.07,12.94,contaminated,8,5,Eldoret,commercial,informal,0.0,0.62,6.21
plastic,HDPE,10.36,5.95,contaminated,4,0,Nairobi,commercial,informal,0.0,0.62,5.98
e_waste,computers,9.05,8.4,clean,3,5,Nairobi,household,formal,1.0,1.0,72.39
glass,mixed_glass,3.13,11.05,contaminated,12,4,Mombasa,commercial,informal,0.0,0.55,1.35
plastic,HDPE,28.88,0.2,contaminated,1,5,Kajiado,dump_site,informal,0.0,0.62,5.16
metal,steel_heavy,22.91,5.02,mixed,3,5,Nairobi,commercial,semi_formal,0.4545,0.9455,34.78
e_waste,batteries,26.01,12.34,mixed,10,6,Mombasa,household,semi_formal,0.4545,0.9727,27.1
plastic,mixed_plastic,37.76,15.89,contaminated,7,6,Nairobi,household,informal,0.0,0.62,4.23
metal,steel_heavy,26.62,18.26,contaminated,1,3,Nairobi,household,informal,0.0,0.9,23.7
organic,food_waste,37.22,0.53,mixed,3,6,Nairobi,household,semi_formal,0.4545,0.9182,5.5
metal,steel,16.72,0.26,contaminated,7,6,Nakuru,commercial,informal,0.0,0.9,19.47
plastic,HDPE,28.73,10.7,clean,7,2,Nairobi,household,formal,1.0,1.0,12.3
plastic,LDPE,81.6,1.9,clean,7,1,Kisumu,commercial,formal,1.0,1.0,6.59
paper,newspaper,151.43,9.57,contaminated,2,0,Kiambu,commercial,informal,0.0,0.7,3.18
paper,office_paper,50.8,7.89,contaminated,3,0,Kajiado,dump_site,informal,0.0,0.7,2.39
plastic,LDPE,15.24,11.93,mixed,8,3,Mombasa,dump_site,semi_formal,0.4545,0.7927,3.37
paper,cardboard,3.9,4.17,contaminated,5,3,Mombasa,industrial,informal,0.0,0.7,4.65
glass,clear_glass,30.42,4.94,clean,3,0,Nairobi,dump_site,formal,1.0,1.0,3.55
textile,industrial_textile,26.93,5.95,clean,9,3,Nakuru,industrial,formal,1.0,1.0,6.22
plastic,PVC,39.25,55.04,clean,3,6,Mombasa,commercial,formal,1.0,1.0,6.99
organic,food_waste,17.51,12.25,clean,5,5,Kajiado,household,formal,1.0,1.0,6.75
textile,industrial_textile,16.85,4.31,mixed,3,4,Nairobi,commercial,semi_formal,0.4545,0.8909,4.86
metal,tin,24.64,1.26,clean,9,6,Eldoret,commercial,formal,1.0,1.0,15.15
plastic,PET,33.61,33.03,clean,5,5,Machakos,dump_site,formal,1.0,1.0,7.0
plastic,PET,13.72,11.94,clean,7,0,Machakos,dump_site,formal,1.0,1.0,9.73
plastic,LDPE,15.08,2.08,clean,10,3,Kisumu,household,formal,1.0,1.0,7.87
metal,aluminum,5.64,0.79,contaminated,3,4,Kisumu,commercial,informal,0.0,0.9,19.7
rubber,tyres,16.97,13.85,clean,11,2,Kisumu,household,formal,1.0,1.0,14.19
e_waste,computers,67.36,18.95,clean,9,5,Nairobi,household,formal,1.0,1.0,63.29
e_waste,cables,20.33,1.21,mixed,2,5,Eldoret,commercial,semi_formal,0.4545,0.9727,54.25
paper,newspaper,33.9,5.46,mixed,2,2,Nairobi,household,semi_formal,0.4545,0.8364,3.75
metal,steel_heavy,64.7,7.93,clean,12,5,Kisumu,industrial,formal,1.0,1.0,35.34
plastic,LDPE,24.88,10.03,clean,3,6,Nairobi,household,formal,1.0,1.0,6.0
metal,brass,35.68,7.24,contaminated,10,2,Nairobi,household,informal,0.0,0.9,124.49
plastic,PET,36.31,4.01,clean,10,0,Mombasa,commercial,formal,1.0,1.0,12.33
metal,copper,45.38,2.04,clean,8,5,Nairobi,industrial,formal,1.0,1.0,613.77
plastic,PP,30.21,12.49,contaminated,11,6,Nairobi,industrial,informal,0.0,0.62,4.22
plastic,LDPE,30.38,0.93,mixed,9,0,Nairobi,commercial,semi_formal,0.4545,0.7927,6.7
metal,aluminum,7.26,8.84,mixed,1,3,Nairobi,household,semi_formal,0.4545,0.9455,16.78
paper,mixed_paper,24.59,2.55,clean,4,5,Nairobi,household,formal,1.0,1.0,5.15
metal,aluminum,43.84,36.92,clean,6,2,Kiambu,commercial,formal,1.0,1.0,15.64
organic,garden_waste,117.62,3.91,clean,1,3,Nairobi,household,formal,1.0,1.0,4.91
paper,cardboard,21.36,4.61,clean,5,6,Mombasa,household,formal,1.0,1.0,6.08
plastic,PET,30.4,9.05,clean,7,2,Nairobi,dump_site,formal,1.0,1.0,10.26
textile,clothes,40.3,0.49,mixed,11,0,Eldoret,industrial,semi_formal,0.4545,0.8909,4.79
plastic,HDPE,34.98,4.44,contaminated,9,1,Kiambu,commercial,informal,0.0,0.62,5.04
metal,steel_heavy,87.09,4.97,mixed,5,2,Mombasa,commercial,semi_formal,0.4545,0.9455,30.76
e_waste,phones,11.53,9.68,mixed,7,2,Eldoret,household,semi_formal,0.4545,0.9727,51.01
e_waste,phones,67.11,4.19,mixed,4,4,Nairobi,household,semi_formal,0.4545,0.9727,58.18
plastic,mixed_plastic,33.04,0.2,mixed,4,3,Nakuru,commercial,semi_formal,0.4545,0.7927,4.78
metal,steel,28.66,0.2,contaminated,12,3,Kisumu,commercial,informal,0.0,0.9,21.28
plastic,mixed_plastic,34.58,0.71,clean,8,0,Machakos,commercial,formal,1.0,1.0,12.04
