waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,price_per_kg
e_waste,phones,3.51,1.27,0.6534,3,5,0.3122,118.24
plastic,PVC,5.53,16.95,0.755,5,3,0.7044,8.81
organic,food_waste,29.81,2.91,0.8678,11,5,0.4787,7.62
glass,clear_glass,13.21,11.74,0.7082,2,1,0.8729,9.1
metal,brass,6.11,1.78,0.6501,2,1,0.5176,380.98
rubber,tyres,19.42,3.71,0.515,4,0,0.8506,18.63
e_waste,computers,8.31,1.68,0.7474,8,4,0.7646,122.05
e_waste,phones,3.32,5.01,0.5194,10,5,0.9235,81.25
metal,steel,73.62,4.37,0.5895,7,1,0.6754,26.0
plastic,PVC,13.43,0.2,0.7513,6,2,0.5995,13.88
plastic,HDPE,38.0,0.79,0.5659,11,3,0.8516,26.8
textile,clothes,19.13,0.44,0.4755,3,5,0.0971,10.67
paper,office_paper,8.79,21.62,0.9037,11,2,0.4371,14.32
e_waste,batteries,13.8,3.33,0.9466,4,3,0.4329,34.02
plastic,PVC,5.64,1.66,0.8501,4,1,0.5603,9.89
plastic,PET,20.69,8.04,0.4628,12,5,0.3879,38.39
paper,cardboard,23.55,0.8,0.6033,8,6,0.571,11.86
metal,aluminum,15.55,0.91,0.5881,6,5,0.1387,85.45
e_waste,cables,3.41,3.34,0.7367,4,5,0.1492,59.28
paper,office_paper,12.99,4.87,0.4514,6,5,0.7431,20.24
e_waste,computers,8.51,6.35,0.724,10,5,0.5752,77.24
plastic,HDPE,31.04,6.1,0.8532,2,3,0.3046,33.81
rubber,tyres,18.48,12.89,0.7503,3,1,0.7525,13.6
organic,food_waste,60.57,15.94,0.9934,4,6,0.7076,5.05
e_waste,phones,7.3,5.66,0.7652,6,0,0.3923,134.06
metal,tin,5.48,5.5,0.5785,10,2,0.5113,22.54
plastic,mixed_plastic,23.69,11.68,0.6368,3,5,0.1881,6.53
metal,aluminum,20.87,2.31,0.7585,10,5,0.6172,125.34
metal,steel,50.41,10.03,0.873,11,4,0.4886,41.96
paper,mixed_paper,68.17,4.07,0.5917,6,3,0.6431,9.77
glass,mixed_glass,23.66,6.83,0.6698,12,6,0.3844,3.7
rubber,tyres,14.82,6.13,0.8493,11,1,0.4062,20.37
plastic,HDPE,17.49,2.14,0.5328,10,0,0.3621,18.76
plastic,HDPE,39.25,13.28,0.8558,5,4,0.6091,21.55
