waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,county,collection_point,quality_grade,price_per_kg
metal,tin,5.57,9.28,0.2882,5,3,0.6743,Eldoret,household,poor,9.93
metal,steel,91.51,1.79,0.8574,9,2,0.4512,Eldoret,commercial,excellent,27.73
plastic,PVC,15.0,0.98,0.6848,8,3,0.7956,Eldoret,industrial,fair,9.82
plastic,PVC,1.66,2.56,0.7047,12,3,0.3259,Eldoret,industrial,good,8.02
e_waste,phones,23.78,15.85,0.7577,1,6,0.5147,Nakuru,commercial,good,89.49
e_waste,computers,7.23,1.97,0.8605,1,3,0.6287,Mombasa,household,excellent,99.87
e_waste,cables,66.87,10.11,0.7652,11,1,0.5772,Mombasa,household,good,53.94
plastic,PP,14.01,1.71,0.8268,8,0,0.4279,Mombasa,industrial,good,19.83
metal,copper,7.35,1.14,0.7665,11,2,0.6682,Nairobi,industrial,good,561.7
paper,mixed_paper,1.54,5.56,0.5391,1,6,0.4337,Nairobi,industrial,fair,8.93
paper,office_paper,140.17,20.39,0.7932,3,2,0.34,Eldoret,industrial,good,15.64
metal,copper,27.73,0.23,0.9039,9,3,0.2803,Mombasa,industrial,excellent,710.7
plastic,PP,25.79,1.93,0.7553,11,1,0.804,Nairobi,commercial,good,20.33
plastic,PVC,71.03,18.67,0.6027,1,5,0.3483,Nairobi,household,fair,7.63
e_waste,computers,24.36,27.86,0.8914,1,0,0.2324,Kisumu,dump_site,excellent,63.6
paper,cardboard,5.9,0.64,0.7029,2,1,0.7736,Eldoret,industrial,good,14.69
plastic,PP,3.9,4.63,0.5483,4,5,0.6542,Nairobi,household,fair,13.03
metal,brass,1.14,19.92,0.6569,1,6,0.7595,Nairobi,dump_site,fair,257.17
paper,newspaper,1.72,5.21,0.7127,4,4,0.3783,Nairobi,commercial,good,8.33
paper,office_paper,8.06,0.29,0.6214,8,6,0.5724,Nairobi,industrial,fair,20.24
organic,garden_waste,59.44,1.51,0.6545,10,5,0.3233,Mombasa,dump_site,fair,6.02
plastic,HDPE,14.27,5.24,0.7879,8,6,0.7224,Nakuru,commercial,good,26.54
glass,clear_glass,1.87,19.3,0.5384,4,2,0.3835,Mombasa,household,fair,5.42
rubber,tyres,36.34,5.98,0.6611,5,4,0.4929,Eldoret,industrial,fair,15.18
e_waste,batteries,7.65,2.61,0.6303,4,3,0.5132,Nairobi,commercial,fair,45.09
paper,cardboard,83.07,0.27,0.5946,3,2,0.4411,Nairobi,commercial,fair,15.67
plastic,PVC,80.17,0.56,0.6861,4,1,0.3779,Nairobi,commercial,fair,9.16
plastic,mixed_plastic,60.96,10.57,0.3067,5,6,0.7104,Nairobi,industrial,poor,9.79
paper,cardboard,16.31,3.42,0.7354,5,5,0.4234,Nairobi,household,good,12.0
plastic,PVC,6.99,6.88,0.3461,2,5,0.3412,Mombasa,dump_site,poor,4.72
plastic,mixed_plastic,24.71,7.51,0.7502,2,1,0.651,Nairobi,industrial,good,15.26
organic,food_waste,40.3,3.89,0.6927,6,4,0.4166,Mombasa,commercial,fair,5.38
e_waste,cables,5.52,2.74,0.584,10,2,0.462,Nairobi,household,fair,51.02
e_waste,phones,2.92,4.14,0.4627,1,1,0.5183,Nairobi,industrial,poor,113.54
plastic,PP,7.77,7.7,0.5922,10,5,0.2519,Nairobi,household,fair,10.93
plastic,PET,11.0,4.05,0.9443,6,1,0.5691,Nairobi,dump_site,excellent,32.21
paper,office_paper,23.77,1.82,0.7531,8,6,0.5781,Nairobi,industrial,good,22.54
paper,office_paper,8.71,9.0,0.8395,1,3,0.6562,Nairobi,commercial,good,18.2
metal,brass,20.39,4.98,0.9017,9,0,0.6344,Nairobi,dump_site,excellent,333.09
textile,clothes,70.15,1.4,0.7672,8,2,0.3497,Kisumu,industrial,good,13.62
glass,clear_glass,29.22,3.81,0.7416,1,0,0.5693,Nairobi,commercial,good,8.45
e_waste,computers,4.25,9.68,0.4812,6,0,0.4571,Mombasa,industrial,poor,73.19
organic,food_waste,12.4,3.86,0.3913,4,3,0.4327,Nakuru,dump_site,poor,2.45
metal,brass,74.07,1.2,0.3896,12,2,0.4255,Kisumu,household,poor,219.66
metal,tin,3.25,11.21,0.7567,1,6,0.4499,Kisumu,household,good,18.8
plastic,PVC,19.77,15.34,0.8299,11,2,0.36,Nairobi,dump_site,good,6.49
paper,mixed_paper,6.48,4.54,0.6675,8,0,0.5093,Kisumu,household,fair,7.67
metal,aluminum,2.2,9.16,0.9939,6,2,0.504,Nairobi,household,excellent,119.57
plastic,PVC,46.28,12.3,0.9824,8,5,0.8301,Kisumu,industrial,excellent,12.03
organic,garden_waste,13.15,6.82,0.8235,7,0,0.7115,Kisumu,household,good,6.37
paper,mixed_paper,44.9,2.74,0.4711,10,5,0.42,Nairobi,household,poor,6.01
e_waste,computers,25.59,1.99,0.7779,2,6,0.5473,Nairobi,household,good,84.47
e_waste,mixed_ewaste,0.78,1.08,0.6633,1,1,0.7164,Eldoret,household,fair,47.96
plastic,PP,9.02,2.84,0.4547,8,5,0.6511,Nairobi,industrial,poor,16.24
metal,copper,2.45,8.02,0.8658,3,1,0.4611,Nairobi,household,excellent,518.77
plastic,PP,33.44,10.06,0.6997,9,3,0.5274,Nakuru,household,fair,12.58
glass,colored_glass,14.19,9.72,0.7254,3,4,0.5138,Kisumu,commercial,good,5.32
paper,cardboard,24.42,1.79,0.7909,3,2,0.7229,Mombasa,dump_site,good,10.92
e_waste,phones,3.43,2.83,0.8135,1,4,0.4655,Nairobi,dump_site,good,108.32
textile,clothes,59.01,27.36,0.7196,6,4,0.5513,Nakuru,industrial,good,10.11
paper,mixed_paper,132.5,1.35,0.8911,3,5,0.5764,Nakuru,commercial,excellent,7.91
metal,aluminum,78.39,12.09,0.6297,8,3,0.3976,Nairobi,household,fair,95.81
organic,garden_waste,54.12,4.56,0.6214,1,5,0.6209,Nairobi,household,fair,7.3
plastic,mixed_plastic,53.69,12.53,0.8292,4,1,0.3571,Mombasa,dump_site,good,8.56
paper,mixed_paper,43.19,1.02,0.8485,5,4,0.3655,Nairobi,industrial,good,11.29
plastic,PP,48.33,27.92,0.3874,12,6,0.6879,Nairobi,commercial,poor,12.05
organic,food_waste,6.74,0.72,0.6534,12,3,0.5231,Kisumu,commercial,fair,4.25
e_waste,computers,6.49,0.39,0.3625,8,3,0.5647,Nakuru,industrial,poor,65.4
plastic,PVC,86.17,1.43,0.6733,9,3,0.6094,Nairobi,commercial,fair,8.79
paper,mixed_paper,27.25,8.69,0.6991,6,5,0.5821,Nairobi,commercial,fair,8.83
