waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,price_per_kg
e_waste,computers,0.501,14.605,0.8049,1,1,0.6294,136.3
paper,cardboard,2.791,10.387,0.8237,9,2,0.4199,10.36
organic,garden_waste,0.55,6.176,0.8898,3,6,0.5867,5.99
glass,clear_glass,51.927,15.001,0.5149,9,0,0.6688,8.59
plastic,PP,5.783,1.946,0.7228,7,0,0.5246,17.37
rubber,tyres,5.212,14.127,0.8081,3,2,0.6544,24.4
e_waste,computers,5.921,4.637,0.8747,6,4,0.6394,143.46
organic,food_waste,9.257,0.975,0.8929,1,5,0.4004,4.85
plastic,mixed_plastic,14.495,18.512,0.9179,9,3,0.7733,10.52
paper,newspaper,0.686,6.428,0.5183,4,3,0.6721,6.61
paper,office_paper,21.59,6.353,0.7867,5,6,0.2754,15.45
textile,clothes,19.985,1.603,0.8237,2,1,0.8011,15.1
metal,aluminum,4.139,5.918,0.6572,5,6,0.4803,110.28
organic,food_waste,3.887,3.982,0.8685,5,2,0.3562,5.4
paper,newspaper,0.108,8.056,0.6576,3,1,0.3232,6.14
plastic,HDPE,1.007,21.297,0.7986,12,6,0.6253,19.48
metal,steel,8.353,4.3,0.5465,4,4,0.8076,34.05
plastic,PP,18.93,8.735,0.8928,3,3,0.4385,18.05
organic,garden_waste,10.747,14.09,0.8216,7,2,0.492,7.41
metal,tin,4.092,1.984,0.4769,4,3,0.3333,16.45
e_waste,mixed_ewaste,45.198,1.606,0.8783,6,5,0.6402,105.04
paper,cardboard,14.972,18.907,0.8777,9,1,0.7804,7.76
rubber,mixed_rubber,2.794,55.498,0.9351,1,1,0.2247,8.58
textile,clothes,61.469,16.696,0.6242,7,2,0.8018,20.14
e_waste,cables,1.203,9.587,0.6446,1,3,0.7175,89.39
plastic,PP,0.766,0.1,0.9068,1,5,0.2274,15.64
paper,cardboard,2.704,3.803,0.9538,2,1,0.6516,15.61
plastic,PVC,1.803,1.119,0.5382,2,5,0.4978,7.07
plastic,PET,2.892,19.38,0.6185,5,6,0.8321,21.95
glass,clear_glass,11.678,10.274,0.9102,12,3,0.6172,11.62
e_waste,cables,4.303,21.685,0.8447,11,6,0.2362,73.15
rubber,tyres,4.437,2.127,0.5683,2,6,0.535,17.62
paper,cardboard,4.809,7.684,0.5918,12,5,0.6441,10.67
paper,newspaper,0.279,4.723,0.9365,8,2,0.6453,10.12
paper,newspaper,0.727,1,0.7573,7,2,0.7127,7.78
plastic,PET,2.823,7.035,0.7525,10,6,0.485,25.54
plastic,PET,1.63,14.361,0.7929,6,3,0.8056,25.84
paper,cardboard,3.393,8.689,0.8028,4,0,0.5249,11.16
plastic,PET,24.166,21.845,0.989,7,5,0.479,30.16
glass,colored_glass,4.099,7.146,0.4776,9,2,0.3956,7.31
paper,office_paper,0.917,2.346,0.5571,9,6,0.1048,11.03
organic,garden_waste,1.73,1.063,0.7142,3,5,0.3425,5.67
e_waste,computers,34.907,8.632,0.6474,12,0,0.8491,123.76
paper,office_paper,28.191,2.135,0.812,4,6,0.5062,15.51
organic,garden_waste,9.162,20.082,0.6554,10,6,0.4948,5.45
organic,food_waste,0.687,23.892,0.9088,4,5,0.6538,3.57
paper,office_paper,6.476,10.58,0.8039,1,1,0.3196,11.51
plastic,PET,7.102,6.821,0.715,12,4,0.2657,25.51
glass,clear_glass,4.621,0.183,0.8565,8,6,0.4051,10.9
plastic,HDPE,2.261,0.148,0.9411,3,5,0.6318,27.66
plastic,PET,2.9,13.677,0.4929,1,3,0.5085,24.8
plastic,HDPE,2.08,7.294,0.755,2,4,0.2745,15.93
organic,food_waste,1.134,12.687,0.8607,3,2,0.7359,4.18
glass,clear_glass,23.085,0.337,0.5883,12,1,0.638,12.37
e_waste,batteries,12.92,1.45,0.9145,3,4,0.3134,76.4
organic,food_waste,3.184,15.547,0.4803,2,3,0.4161,3.06
paper,cardboard,6.839,6.713,0.9718,11,1,0.7136,14.8
metal,steel,7.154,8.86,0.8126,11,4,0.788,33.06
plastic,HDPE,74.549,13.608,0.8575,3,2,0.5304,20.42
plastic,HDPE,12.77,2.88,0.8716,8,4,0.388,23.95
glass,colored_glass,12.204,2.414,0.4998,7,2,0.7025,7.53
paper,cardboard,4.691,5.74,0.9311,7,6,0.6112,14.54
metal,aluminum,2.661,0.404,0.8306,4,5,0.294,113.91
e_waste,batteries,23.553,29.505,0.4623,10,3,0.7297,60.43
metal,tin,9.803,6.901,0.731,11,4,0.6332,33.45
metal,steel,1.656,0.439,0.8229,9,1,0.4107,29.25
metal,steel,7.726,2.881,0.7483,11,6,0.7405,35.03
paper,mixed_paper,12.242,10.655,0.7676,2,1,0.4189,6.6
plastic,PP,0.362,8.766,0.7613,8,6,0.4884,15.92
paper,cardboard,1.482,7.305,0.6177,12,5,0.49,11.37
plastic,PP,6.926,33.121,0.8777,7,1,0.3462,15.15
paper,cardboard,0.445,0.431,0.8681,12,0,0.2482,13.61
organic,food_waste,0.538,13.839,0.47,5,5,0.4509,2.08
plastic,PP,3.24,0.492,0.7492,11,6,0.2489,16.43
plastic,PP,8.084,2.583,0.4891,12,5,0.5314,17.08
plastic,mixed_plastic,8.545,5.588,0.8308,8,0,0.5465,12.56
plastic,PP,29.931,6.303,0.7689,9,4,0.8408,18.01
glass,colored_glass,4.947,9.614,0.5379,7,2,0.7639,9.58
metal,steel,2.866,4.605,0.3779,4,6,0.4238,24.81
organic,garden_waste,0.933,0.934,0.701,7,5,0.3584,6.85
glass,colored_glass,2.825,9.238,0.7031,12,5,0.2762,6.38
paper,newspaper,10.475,4.943,0.7255,1,2,0.328,7.09
organic,garden_waste,11.059,10.203,0.6571,3,2,0.5772,6.56
plastic,PP,6.157,10.145,0.7167,6,5,0.576,14.74
plastic,PVC,8.641,3.319,0.7112,5,0,0.5731,9.33
plastic,PET,20.732,9.989,0.4831,8,0,0.2834,23.16
e_waste,computers,4.905,4.875,0.9089,5,0,0.5902,87.32
paper,newspaper,23.122,21.614,0.8851,8,3,0.6924,7.36
plastic,PP,1.874,7.544,0.6096,2,0,0.4376,11.95
metal,aluminum,4.104,3.754,0.8538,4,4,0.672,151.49
plastic,mixed_plastic,2.517,2.058,0.6439,9,1,0.3837,11.81
glass,mixed_glass,11.603,0.622,0.745,6,6,0.8625,3.72
paper,mixed_paper,1.327,2.09,0.6444,9,3,0.3992,6.9
paper,newspaper,3.046,1.561,0.6332,8,0,0.1314,7.47
paper,office_paper,0.481,5.404,0.6411,4,4,0.6176,11.45
metal,aluminum,9.145,0.304,0.956,6,2,0.1407,121.68
paper,mixed_paper,20.008,0.1,0.338,12,1,0.7933,7.13
plastic,PET,13.368,1.807,0.8245,12,4,0.396,28.08
plastic,PET,11.884,8.989,0.7972,1,6,0.3251,22.51
rubber,mixed_rubber,12.272,16.407,0.9769,9,6,0.364,10.97
textile,clothes,10.377,2.492,0.8136,6,3,0.3379,15.47
glass,colored_glass,9.368,2.238,0.4744,1,5,0.3294,5.79
plastic,HDPE,10.122,7.674,0.8686,8,1,0.3559,22.91
rubber,tyres,2.04,5.719,0.3904,1,5,0.4136,15.18
e_waste,phones,3.525,21.851,0.9802,4,6,0.2031,138.58
e_waste,computers,4.876,7.418,0.4958,9,3,0.0507,85.13
paper,cardboard,2.996,5.38,0.7898,10,3,0.725,15.68
plastic,HDPE,0.684,8.875,0.8652,5,3,0.7133,21.37
plastic,PP,1.018,3.166,0.9241,10,0,0.0985,16.34
textile,clothes,5.906,12.026,0.5974,11,6,0.541,15.87
paper,office_paper,13.289,15.025,0.7215,6,5,0.615,16.76
plastic,PET,4.532,0.442,0.4248,3,6,0.7341,26.55
paper,cardboard,123.691,8.682,0.9231,8,0,0.8755,14.86
metal,steel,1.486,13.43,0.684,1,5,0.1691,23.3
plastic,PP,7.644,1.082,0.4277,11,2,0.4016,14.22
organic,food_waste,21.104,1.443,0.7269,5,5,0.6833,4.92
e_waste,phones,16.1,8.894,0.5089,10,6,0.7366,110.89
e_waste,computers,9.836,9.598,0.7622,9,6,0.6304,72.4
paper,office_paper,16.189,7.135,0.7485,6,6,0.8023,15.66
metal,brass,4.79,19.319,0.91,12,0,0.2769,406.09
metal,steel,32.965,0.177,0.9372,10,2,0.2919,35.37
metal,aluminum,20.901,4.66,0.6805,11,2,0.2516,116.37
plastic,PET,1.612,3.08,0.6767,2,3,0.0644,20.64
